appid,username,password,repassword,res
,wuweihku,123456,123456,10002
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,,123456,123456,10003
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,123456,153456,10007
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,123456,123456,10008
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,123456,123456,10008
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,123456,123456,10008
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,123456,123456,10008
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,123456,123456,10008
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,123456,123456,10008
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,123456,123456,10008
,wuweihku,123456,123456,10002
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,,123456,123456,10003
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,,123456,10006
4e7dHsOyi5QjgpiBiemIreX74f7VgUCg7L,wuweihku,123456,1234526,10007
